,Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,
0,Emiliano Martínez,GK,29.0,7.7,1,0,0,0,1,0,0,0,0,0.0,0.0,0,4.0,2.0,0.0,100.0,Matches,Argentina
1,Lionel Messi,FW,34.0,7.7,1,0,0,10,22,3,20,0,3,1.0,0.0,0,22.0,2.0,7.0,22.2,Matches,Argentina
2,Nicolás Otamendi,DF,34.0,7.7,2,0,0,13,5,1,0,9,6,0.0,1.0,0,39.0,21.0,13.0,61.8,Matches,Argentina
3,Rodrigo De Paul,MF,28.0,6.7,0,0,0,7,15,0,12,7,6,0.0,0.0,0,42.0,2.0,3.0,40.0,Matches,Argentina
4,Nahuel Molina,DF,24.0,6.3,0,0,0,3,0,1,6,3,4,0.0,0.0,0,23.0,0.0,6.0,0.0,Matches,Argentina
5,Alexis Mac Allister,MF,23.0,6.1,0,0,0,1,13,0,1,3,4,0.0,0.0,0,40.0,5.0,13.0,27.8,Matches,Argentina
6,Cristian Romero,DF,24.0,6.1,2,0,0,12,3,0,0,4,3,0.0,0.0,0,35.0,12.0,8.0,60.0,Matches,Argentina
7,Enzo Fernández,MF,21.0,6.3,1,0,0,7,6,0,2,3,15,0.0,0.0,1,39.0,9.0,3.0,75.0,Matches,Argentina
8,Julián Álvarez,FW,22.0,5.2,0,0,0,13,2,5,3,0,2,1.0,0.0,0,21.0,2.0,9.0,18.2,Matches,Argentina
9,Marcos Acuña,"DF,FW",30.0,4.1,3,0,0,9,9,0,17,2,8,1.0,0.0,0,16.0,5.0,7.0,41.7,Matches,Argentina
10,Ángel Di María,"MF,FW",34.0,3.2,0,0,0,0,7,5,27,1,1,1.0,0.0,0,7.0,0.0,1.0,0.0,Matches,Argentina
11,Nicolás Tagliafico,DF,29.0,4.1,0,0,0,6,6,1,1,9,7,0.0,0.0,0,12.0,4.0,1.0,80.0,Matches,Argentina
12,Lisandro Martínez,DF,24.0,3.4,1,0,0,2,3,0,1,3,2,0.0,0.0,0,6.0,3.0,3.0,50.0,Matches,Argentina
13,Lautaro Martínez,FW,24.0,2.7,0,0,0,1,5,5,0,1,0,0.0,0.0,0,13.0,6.0,6.0,50.0,Matches,Argentina
14,Leandro Paredes,MF,27.0,2.5,2,0,0,6,5,0,0,3,4,1.0,0.0,0,19.0,4.0,0.0,100.0,Matches,Argentina
15,Papu Gómez,"MF,FW",34.0,1.2,0,0,0,1,5,1,1,1,0,0.0,0.0,0,6.0,1.0,0.0,100.0,Matches,Argentina
16,Gonzalo Montiel,"DF,MF",25.0,1.3,3,0,0,4,2,1,3,1,2,0.0,1.0,0,3.0,1.0,2.0,33.3,Matches,Argentina
17,Guido Rodríguez,MF,28.0,0.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,Argentina
18,Germán Pezzella,DF,30.0,0.7,1,0,0,2,2,0,0,0,0,0.0,0.0,0,1.0,0.0,6.0,0.0,Matches,Argentina
19,Exequiel Palacios,"MF,DF",23.0,0.6,0,0,0,2,3,0,0,2,0,0.0,0.0,0,6.0,0.0,1.0,0.0,Matches,Argentina
20,Paulo Dybala,FW,28.0,0.2,0,0,0,1,0,0,0,0,1,0.0,0.0,0,1.0,3.0,1.0,75.0,Matches,Argentina
21,Thiago Almada,MF,21.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Argentina
22,Ángel Correa,MF,27.0,0.1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,,Matches,Argentina
23,Juan Foyth,DF,24.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Argentina
24,Squad Total,,27.5,7.7,17,0,0,100,115,23,94,52,69,5.0,2.0,1,357.0,83.0,90.0,48.0,,Argentina
25,Opponent Total,,27.5,7.7,26,1,1,118,92,10,115,71,68,1.0,5.0,0,344.0,90.0,83.0,52.0,,Argentina
0,Aurélien Tchouaméni,MF,22.0,6.9,1,0,0,8,10,0,3,14,4,0.0,1.0,0,44.0,5.0,2.0,71.4,Matches,France
1,Kylian Mbappé,FW,23.0,6.6,0,0,0,7,7,6,25,0,0,0.0,0.0,0,20.0,1.0,4.0,20.0,Matches,France
2,Hugo Lloris,GK,35.0,6.3,0,0,0,0,1,0,0,0,0,0.0,0.0,0,5.0,3.0,0.0,100.0,Matches,France
3,Antoine Griezmann,MF,31.0,6.0,1,0,0,3,9,3,40,8,8,0.0,0.0,0,34.0,5.0,4.0,55.6,Matches,France
4,Raphaël Varane,DF,29.0,5.8,0,0,0,1,1,1,1,6,0,0.0,0.0,0,17.0,4.0,5.0,44.4,Matches,France
5,Ousmane Dembélé,FW,25.0,4.8,1,0,0,6,3,2,19,2,6,0.0,1.0,0,26.0,2.0,1.0,66.7,Matches,France
6,Olivier Giroud,FW,35.0,4.7,1,0,0,2,4,3,0,1,0,0.0,0.0,0,7.0,19.0,13.0,59.4,Matches,France
7,Theo Hernández,DF,24.0,5.6,1,0,0,6,13,0,13,4,13,0.0,1.0,0,30.0,8.0,4.0,66.7,Matches,France
8,Adrien Rabiot,MF,27.0,5.4,1,0,0,10,4,0,7,10,9,0.0,0.0,0,30.0,15.0,8.0,65.2,Matches,France
9,Jules Koundé,DF,23.0,5.3,1,0,0,5,2,0,2,5,8,0.0,0.0,0,25.0,5.0,8.0,38.5,Matches,France
10,Dayot Upamecano,DF,23.0,5.3,0,0,0,4,3,0,0,6,7,0.0,1.0,0,33.0,7.0,7.0,50.0,Matches,France
11,Ibrahima Konaté,DF,23.0,3.3,0,0,0,2,4,0,1,7,6,0.0,0.0,0,14.0,5.0,1.0,83.3,Matches,France
12,Youssouf Fofana,MF,23.0,2.5,0,0,0,3,1,0,0,3,5,0.0,0.0,0,17.0,1.0,1.0,50.0,Matches,France
13,Randal Kolo Muani,FW,23.0,2.0,0,0,0,4,5,0,1,1,5,1.0,0.0,0,8.0,9.0,5.0,64.3,Matches,France
14,Kingsley Coman,"FW,MF",26.0,1.9,0,0,0,1,2,0,13,2,2,0.0,0.0,0,12.0,2.0,4.0,33.3,Matches,France
15,Eduardo Camavinga,DF,19.0,1.6,0,0,0,2,8,0,2,3,9,0.0,0.0,0,15.0,2.0,0.0,100.0,Matches,France
16,Axel Disasi,DF,24.0,1.0,0,0,0,0,1,0,2,3,2,0.0,0.0,0,4.0,4.0,0.0,100.0,Matches,France
17,Steve Mandanda,GK,37.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,France
18,Benjamin Pavard,DF,26.0,1.0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,5.0,0.0,0.0,,Matches,France
19,Mattéo Guendouzi,"FW,MF",23.0,0.9,0,0,0,0,1,0,0,0,1,0.0,0.0,0,4.0,1.0,0.0,100.0,Matches,France
20,Jordan Veretout,MF,29.0,0.7,0,0,0,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,2.0,0.0,Matches,France
21,Lucas Hernández,DF,26.0,0.1,0,0,0,0,0,0,1,0,1,0.0,0.0,0,1.0,0.0,0.0,,Matches,France
22,Marcus Thuram,"FW,MF",24.0,1.7,1,0,0,3,5,1,1,0,2,0.0,0.0,0,8.0,8.0,9.0,47.1,Matches,France
23,William Saliba,DF,21.0,0.3,0,0,0,0,1,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,,Matches,France
24,Squad Total,,26.3,7.3,8,0,0,69,85,16,132,76,88,1.0,4.0,0,364.0,106.0,78.0,57.6,,France
