,Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,
0,Emiliano Martínez,GK,29.0,7.7,120.0,187.0,64.2,2830.0,1864.0,33.0,33.0,100.0,62.0,62.0,100.0,24.0,89.0,27.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Argentina
1,Lionel Messi,FW,34.0,7.7,300.0,371.0,80.9,4533.0,1561.0,170.0,182.0,93.4,93.0,110.0,84.5,27.0,47.0,57.4,3,2.5,1.9,0.5,21.0,38.0,18.0,0.0,49.0,Matches,Argentina
2,Nicolás Otamendi,DF,34.0,7.7,532.0,577.0,92.2,8827.0,2913.0,236.0,250.0,94.4,266.0,284.0,93.7,25.0,35.0,71.4,1,0.2,0.2,0.8,2.0,20.0,0.0,0.0,22.0,Matches,Argentina
3,Rodrigo De Paul,MF,28.0,6.7,470.0,562.0,83.6,6949.0,1446.0,281.0,306.0,91.8,164.0,192.0,85.4,18.0,38.0,47.4,0,0.3,0.4,-0.3,7.0,35.0,7.0,1.0,18.0,Matches,Argentina
4,Nahuel Molina,DF,24.0,6.3,291.0,358.0,81.3,3912.0,1346.0,188.0,221.0,85.1,77.0,94.0,81.9,16.0,23.0,69.6,1,0.3,0.3,0.7,3.0,17.0,3.0,1.0,11.0,Matches,Argentina
5,Alexis Mac Allister,MF,23.0,6.1,234.0,265.0,88.3,3274.0,548.0,147.0,162.0,90.7,69.0,76.0,90.8,9.0,13.0,69.2,1,0.9,0.6,0.1,8.0,12.0,6.0,0.0,17.0,Matches,Argentina
6,Cristian Romero,DF,24.0,6.1,337.0,375.0,89.9,5417.0,2110.0,175.0,186.0,94.1,137.0,151.0,90.7,21.0,30.0,70.0,0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,Matches,Argentina
7,Enzo Fernández,MF,21.0,6.3,412.0,471.0,87.5,6639.0,1694.0,209.0,230.0,90.9,157.0,175.0,89.7,33.0,45.0,73.3,1,0.9,0.8,0.1,6.0,43.0,9.0,1.0,24.0,Matches,Argentina
8,Julián Álvarez,FW,22.0,5.2,93.0,121.0,76.9,1169.0,132.0,61.0,72.0,84.7,18.0,25.0,72.0,5.0,6.0,83.3,0,0.1,0.7,-0.1,2.0,2.0,2.0,1.0,3.0,Matches,Argentina
9,Marcos Acuña,"DF,FW",30.0,4.1,167.0,217.0,77.0,2683.0,679.0,97.0,113.0,85.8,60.0,73.0,82.2,9.0,21.0,42.9,0,0.3,0.4,-0.3,5.0,9.0,2.0,0.0,9.0,Matches,Argentina
10,Ángel Di María,"MF,FW",34.0,3.2,129.0,167.0,77.2,2059.0,474.0,73.0,77.0,94.8,42.0,52.0,80.8,10.0,23.0,43.5,1,0.6,0.7,0.4,10.0,3.0,11.0,3.0,16.0,Matches,Argentina
11,Nicolás Tagliafico,DF,29.0,4.1,146.0,179.0,81.6,2006.0,518.0,99.0,110.0,90.0,40.0,47.0,85.1,5.0,12.0,41.7,0,0.2,0.2,-0.2,2.0,6.0,1.0,0.0,5.0,Matches,Argentina
12,Lisandro Martínez,DF,24.0,3.4,133.0,156.0,85.3,2311.0,821.0,63.0,70.0,90.0,57.0,64.0,89.1,13.0,21.0,61.9,0,0.7,0.0,-0.7,1.0,11.0,1.0,0.0,6.0,Matches,Argentina
13,Lautaro Martínez,FW,24.0,2.7,47.0,63.0,74.6,579.0,21.0,33.0,40.0,82.5,11.0,15.0,73.3,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Argentina
14,Leandro Paredes,MF,27.0,2.5,230.0,246.0,93.5,3710.0,1331.0,109.0,113.0,96.5,104.0,110.0,94.5,12.0,16.0,75.0,0,0.0,0.1,0.0,2.0,18.0,1.0,0.0,12.0,Matches,Argentina
15,Papu Gómez,"MF,FW",34.0,1.2,53.0,60.0,88.3,671.0,74.0,40.0,43.0,93.0,11.0,12.0,91.7,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Matches,Argentina
16,Gonzalo Montiel,"DF,MF",25.0,1.3,69.0,81.0,85.2,954.0,310.0,39.0,42.0,92.9,26.0,28.0,92.9,1.0,3.0,33.3,0,0.3,0.3,-0.3,3.0,4.0,0.0,0.0,2.0,Matches,Argentina
17,Guido Rodríguez,MF,28.0,0.6,54.0,64.0,84.4,871.0,342.0,30.0,33.0,90.9,19.0,24.0,79.2,4.0,6.0,66.7,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Matches,Argentina
