,Player,Pos,Club,Birth Place,Birth Date,Age_x,MP,Min,Gls,Team,Age_y,Starts,90s,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
0,Marcos Acuña,"DF,FW",Sevilla,"Zapala, Argentina",1991-10-28,31-023,6,373,0,Argentina,30.0,4,4.1,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.02,0.07,0.1,0.02,0.1
1,Thiago Almada,MF,Atlanta Utd,"Argentina, Argentina",2001-04-26,21-208,1,7,0,Argentina,21.0,0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,3.16,3.16,0.0,3.16
2,Julián Álvarez,FW,Manchester City,"Argentina, Argentina",2000-01-31,22-293,7,464,4,Argentina,22.0,5,5.2,0,4,0,0,0,0,0.78,0.0,0.78,0.78,0.78,2.6,2.6,0.1,2.7,0.51,0.02,0.53,0.51,0.53
3,Franco Armani,GK,River Plate,"Casilda, Argentina",1986-10-16,36-035,0,0,0,Argentina,35.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Ángel Correa,MF,Atlético Madrid,"Rosario, Argentina",1995-03-09,27-256,1,5,0,Argentina,27.0,0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Rodrigo De Paul,MF,Atlético Madrid,"Sarandí, Argentina",1994-05-24,28-180,7,599,0,Argentina,28.0,7,6.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.2,0.14,0.05,0.19,0.14,0.19
6,Ángel Di María,"MF,FW",Juventus,"Rosario, Argentina",1988-02-14,34-279,5,288,1,Argentina,34.0,4,3.2,1,1,0,0,0,0,0.31,0.31,0.62,0.31,0.62,0.6,0.6,0.6,1.3,0.21,0.2,0.41,0.21,0.41
7,Paulo Dybala,FW,Roma,"Laguna Larga, Argentina",1993-11-15,29-005,2,18,0,Argentina,28.0,0,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.03,1.03,0.0,1.03
8,Enzo Fernández,MF,Benfica,"Argentina, Argentina",2001-01-17,21-307,7,564,1,Argentina,21.0,5,6.3,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,0.3,0.3,0.9,1.2,0.05,0.16,0.21,0.05,0.21
9,Juan Foyth,DF,Villarreal,"La Plata, Argentina",1998-01-12,24-312,1,5,0,Argentina,24.0,0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
