,#,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls
0,8.0,Marcos Acuña,"DF,FW",1.es Sevilla,"Zapala, Argentina",1991-10-28,31-023,6.0,373.0,0.0
1,16.0,Thiago Almada,MF,1.us Atlanta Utd,"Argentina, Argentina",2001-04-26,21-208,1.0,7.0,0.0
2,9.0,Julián Álvarez,FW,1.eng Manchester City,"Argentina, Argentina",2000-01-31,22-293,7.0,464.0,4.0
3,1.0,Franco Armani,GK,1.ar River Plate,"Casilda, Argentina",1986-10-16,36-035,0.0,,
4,15.0,Ángel Correa,MF,1.es Atlético Madrid,"Rosario, Argentina",1995-03-09,27-256,1.0,5.0,0.0
5,7.0,Rodrigo De Paul,MF,1.es Atlético Madrid,"Sarandí, Argentina",1994-05-24,28-180,7.0,599.0,0.0
6,11.0,Ángel Di María,"MF,FW",1.it Juventus,"Rosario, Argentina",1988-02-14,34-279,5.0,288.0,1.0
7,21.0,Paulo Dybala,FW,1.it Roma,"Laguna Larga, Argentina",1993-11-15,29-005,2.0,18.0,0.0
8,24.0,Enzo Fernández,MF,1.pt Benfica,"Argentina, Argentina",2001-01-17,21-307,7.0,564.0,1.0
9,2.0,Juan Foyth,DF,1.es Villarreal,"La Plata, Argentina",1998-01-12,24-312,1.0,5.0,0.0
10,17.0,Papu Gómez,"MF,FW",1.es Sevilla,"Buenos Aires, Argentina",1988-02-15,34-278,2.0,107.0,0.0
11,20.0,Alexis Mac Allister,MF,1.eng Brighton,"Santa Rosa, Argentina",1998-12-24,23-331,6.0,550.0,1.0
12,23.0,Emiliano Martínez,GK,1.eng Aston Villa,"Mar del Plata, Argentina",1992-09-02,30-079,7.0,690.0,0.0
13,22.0,Lautaro Martínez,FW,1.it Inter,"Bahía Blanca, Argentina",1997-08-22,25-090,6.0,241.0,0.0
14,25.0,Lisandro Martínez,DF,1.eng Manchester Utd,"Gualeguay, Argentina",1998-01-18,24-306,5.0,303.0,0.0
15,10.0,Lionel Messi,FW,1.fr Paris S-G,"Rosario, Argentina",1987-06-24,35-149,7.0,690.0,7.0
16,26.0,Nahuel Molina,DF,1.es Atlético Madrid,"Embalse, Argentina",1998-04-06,24-228,7.0,567.0,1.0
17,4.0,Gonzalo Montiel,"DF,MF",1.es Sevilla,"González Catán, Argentina",1997-01-01,25-323,4.0,118.0,0.0
18,19.0,Nicolás Otamendi,DF,1.pt Benfica,"Buenos Aires, Argentina",1988-02-12,34-281,7.0,690.0,0.0
19,14.0,Exequiel Palacios,"MF,DF",1.de Leverkusen,"Famaillá, Argentina",1998-10-05,24-046,3.0,50.0,0.0
20,5.0,Leandro Paredes,MF,1.it Juventus,"San Justo, Argentina",1994-06-29,28-144,5.0,225.0,0.0
21,6.0,Germán Pezzella,DF,1.es Betis,"Bahía Blanca, Argentina",1991-06-27,31-146,3.0,60.0,0.0
22,18.0,Guido Rodríguez,MF,1.es Betis,"Sáenz Peña, Argentina",1994-04-12,28-222,1.0,56.0,0.0
23,13.0,Cristian Romero,DF,1.eng Tottenham,"Córdoba, Argentina",1998-04-27,24-207,7.0,547.0,0.0
24,12.0,Gerónimo Rulli,GK,1.es Villarreal,"La Plata, Argentina",1992-05-20,30-184,0.0,,
25,3.0,Nicolás Tagliafico,DF,1.fr Lyon,"Buenos Aires, Argentina",1992-08-31,30-081,6.0,373.0,0.0
0,23.0,Alphonse Areola,GK,1.eng West Ham,"Paris, France",1993-02-27,29-266,0.0,,
1,25.0,Eduardo Camavinga,DF,1.es Real Madrid,"Cabinda, Angola",2002-11-10,20-010,2.0,140.0,0.0
2,20.0,Kingsley Coman,"FW,MF",1.de Bayern Munich,"Paris, France",1996-06-13,26-160,6.0,169.0,0.0
3,11.0,Ousmane Dembélé,FW,1.es Barcelona,"Vernon, France",1997-05-15,25-189,7.0,433.0,0.0
4,3.0,Axel Disasi,DF,1.fr Monaco,"Gonesse, France",1998-03-11,24-254,3.0,92.0,0.0
5,13.0,Youssouf Fofana,MF,1.fr Monaco,"Paris, France",1999-01-10,23-314,6.0,227.0,0.0
6,9.0,Olivier Giroud,FW,1.it Milan,"Chambéry, France",1986-09-30,36-051,6.0,419.0,4.0
7,7.0,Antoine Griezmann,MF,1.es Atlético Madrid,"Mâcon, France",1991-03-21,31-244,7.0,537.0,0.0
8,6.0,Mattéo Guendouzi,"FW,MF",1.fr Marseille,"Poissy, France",1999-04-14,23-220,1.0,78.0,0.0
9,21.0,Lucas Hernández,DF,1.de Bayern Munich,"Marseille, France",1996-02-14,26-279,1.0,12.0,0.0
10,22.0,Theo Hernández,DF,1.it Milan,"Marseille, France",1997-10-06,25-045,6.0,508.0,1.0
11,12.0,Randal Kolo Muani,FW,1.de Eint Frankfurt,"Bondy, France",1998-12-05,23-350,3.0,182.0,1.0
12,24.0,Ibrahima Konaté,DF,1.eng Liverpool,"Paris, France",1999-05-25,23-179,5.0,294.0,0.0
13,5.0,Jules Koundé,DF,1.es Barcelona,"Paris, France",1998-11-12,24-008,6.0,480.0,0.0
14,1.0,Hugo Lloris,GK,1.eng Tottenham,"Nice, France",1986-12-26,35-329,6.0,570.0,0.0
15,16.0,Steve Mandanda,GK,1.fr Rennes,"Kinshasa, Congo DR",1985-03-28,37-237,1.0,90.0,0.0
16,10.0,Kylian Mbappé,FW,1.fr Paris S-G,"Paris 19 Buttes-Chaumont, France",1998-12-20,23-335,7.0,598.0,8.0
17,2.0,Benjamin Pavard,DF,1.de Bayern Munich,"Maubeuge, France",1996-03-28,26-237,1.0,88.0,0.0
18,14.0,Adrien Rabiot,MF,1.it Juventus,"Saint-Maurice, France",1995-04-03,27-231,6.0,483.0,1.0
19,17.0,William Saliba,DF,1.eng Arsenal,"Bondy, France",2001-03-24,21-241,1.0,28.0,0.0
20,8.0,Aurélien Tchouaméni,MF,1.es Real Madrid,"Rouen, France",2000-01-27,22-297,7.0,621.0,1.0
21,26.0,Marcus Thuram,"FW,MF",1.de M'Gladbach,"Provincia di Parma, Italy",1997-08-06,25-106,5.0,151.0,0.0
22,18.0,Dayot Upamecano,DF,1.de Bayern Munich,"Évreux, France",1998-10-27,24-024,5.0,480.0,0.0
23,4.0,Raphaël Varane,DF,1.eng Manchester Utd,"Lille, France",1993-04-25,29-209,6.0,518.0,0.0
24,15.0,Jordan Veretout,MF,1.fr Marseille,"Ancenis, France",1993-03-01,29-264,1.0,62.0,0.0
0,3.0,Borna Barišić,DF,1.sct Rangers,"Grad Osijek, Croatia",1992-11-10,30-010,1.0,120.0,0.0
1,11.0,Marcelo Brozović,MF,1.it Inter,"Zagreb, Croatia",1992-11-16,30-004,6.0,552.0,0.0
2,17.0,Ante Budimir,FW,1.es Osasuna,"Zenica, Bosnia and Herzegovina",1991-07-22,31-121,2.0,55.0,0.0
3,5.0,Martin Erlic,DF,1.it Sassuolo,"Zadar, Croatia",1998-01-24,24-300,0.0,,
4,12.0,Ivo Grbić,GK,1.es Atlético Madrid,"Grad Split, Croatia",1996-01-18,26-306,0.0,,
5,20.0,Joško Gvardiol,DF,1.de RB Leipzig,"Zagreb, Croatia",2002-01-23,20-301,7.0,690.0,1.0
6,23.0,Ivica Ivušić,GK,1.hr Osijek,"Grad Rijeka, Croatia",1995-02-01,27-292,0.0,,
7,26.0,Kristijan Jakić,FW,1.de Eint Frankfurt,"Grad Split, Croatia",1997-05-14,25-190,1.0,1.0,0.0
8,22.0,Josip Juranović,DF,1.sct Celtic,"Zagreb, Croatia",1995-08-16,27-096,6.0,600.0,0.0
9,8.0,Mateo Kovačić,MF,1.eng Chelsea,"Linz, Austria",1994-05-06,28-198,7.0,635.0,0.0
10,9.0,Andrej Kramarić,"FW,MF",1.de Hoffenheim,"Zagreb, Croatia",1991-06-19,31-154,7.0,474.0,2.0
11,14.0,Marko Livaja,FW,1.hr Hajduk Split,"Grad Split, Croatia",1993-08-26,29-086,6.0,241.0,1.0
12,1.0,Dominik Livaković,GK,1.hr Dinamo Zagreb,"Zadar, Croatia",1995-01-09,27-315,7.0,690.0,0.0
13,6.0,Dejan Lovren,DF,1.ru Zenit,"Zenica, Bosnia and Herzegovina",1989-07-05,33-138,6.0,600.0,0.0
14,7.0,Lovro Majer,"MF,FW",1.fr Rennes,"Zagreb, Croatia",1998-01-17,24-307,7.0,130.0,1.0
15,10.0,Luka Modrić,MF,1.es Real Madrid,"Zadar, Croatia",1985-09-09,37-072,7.0,653.0,0.0
16,18.0,Mislav Oršić,FW,1.hr Dinamo Zagreb,"Zagreb, Croatia",1992-12-29,29-326,6.0,162.0,1.0
17,15.0,Mario Pašalić,"FW,MF",1.it Atalanta,"Mainz, Germany",1995-02-09,27-284,7.0,271.0,0.0
18,4.0,Ivan Perišić,"FW,DF",1.eng Tottenham,"Grad Split, Croatia",1989-02-02,33-291,7.0,669.0,1.0
19,16.0,Bruno Petković,FW,1.hr Dinamo Zagreb,"Metković, Croatia",1994-09-16,28-065,6.0,234.0,1.0
20,19.0,Borna Sosa,DF,1.de Stuttgart,"Zagreb, Croatia",1998-01-21,24-303,5.0,424.0,0.0
