,Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,
0,Emiliano Martínez,GK,29.0,7.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
1,Lionel Messi,FW,34.0,7.7,7,27,13,48.1,3.52,1.7,0.11,0.23,20.9,3.0,4,5,6.6,2.7,0.1,0.4,0.3,Matches,Argentina
2,Nicolás Otamendi,DF,34.0,7.7,0,1,0,0.0,0.13,0.0,0.0,,12.3,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Argentina
3,Rodrigo De Paul,MF,28.0,6.7,0,7,3,42.9,1.05,0.45,0.0,0.0,20.1,0.0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches,Argentina
4,Nahuel Molina,DF,24.0,6.3,1,2,1,50.0,0.32,0.16,0.5,1.0,16.2,0.0,0,0,0.5,0.5,0.23,0.5,0.5,Matches,Argentina
5,Alexis Mac Allister,MF,23.0,6.1,1,7,4,57.1,1.15,0.65,0.14,0.25,19.0,0.0,0,0,0.7,0.7,0.1,0.3,0.3,Matches,Argentina
6,Cristian Romero,DF,24.0,6.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
7,Enzo Fernández,MF,21.0,6.3,1,8,3,37.5,1.28,0.48,0.13,0.33,24.9,0.0,0,0,0.3,0.3,0.04,0.7,0.7,Matches,Argentina
8,Julián Álvarez,FW,22.0,5.2,4,11,8,72.7,2.13,1.55,0.36,0.5,12.2,0.0,0,0,2.6,2.6,0.24,1.4,1.4,Matches,Argentina
9,Marcos Acuña,"DF,FW",30.0,4.1,0,2,0,0.0,0.48,0.0,0.0,,17.9,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Argentina
10,Ángel Di María,"MF,FW",34.0,3.2,1,6,3,50.0,1.87,0.94,0.17,0.33,20.7,0.0,0,0,0.6,0.6,0.11,0.4,0.4,Matches,Argentina
11,Nicolás Tagliafico,DF,29.0,4.1,0,3,1,33.3,0.72,0.24,0.0,0.0,11.3,0.0,0,0,1.0,1.0,0.34,-1.0,-1.0,Matches,Argentina
12,Lisandro Martínez,DF,24.0,3.4,0,1,0,0.0,0.3,0.0,0.0,,10.1,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,Argentina
13,Lautaro Martínez,FW,24.0,2.7,0,14,4,28.6,5.23,1.49,0.0,0.0,12.6,0.0,0,0,1.9,1.9,0.13,-1.9,-1.9,Matches,Argentina
14,Leandro Paredes,MF,27.0,2.5,0,1,1,100.0,0.4,0.4,0.0,0.0,30.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Argentina
15,Papu Gómez,"MF,FW",34.0,1.2,0,2,0,0.0,1.68,0.0,0.0,,26.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Argentina
16,Gonzalo Montiel,"DF,MF",25.0,1.3,0,1,0,0.0,0.76,0.0,0.0,,27.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Argentina
17,Guido Rodríguez,MF,28.0,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
18,Germán Pezzella,DF,30.0,0.7,0,1,0,0.0,1.5,0.0,0.0,,10.0,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Argentina
19,Exequiel Palacios,"MF,DF",23.0,0.6,0,1,0,0.0,1.8,0.0,0.0,,16.3,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Argentina
20,Paulo Dybala,FW,28.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
21,Thiago Almada,MF,21.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Argentina
