,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Top Team Scorer,Goalkeeper
0,1,Argentina,7,4,2,1,15,8,7,14,15.1,4.6,10.4,1.49,Lionel Messi - 7,Emiliano Martínez
1,2,France,7,5,1,1,16,8,8,16,13.8,9.9,3.9,0.55,Kylian Mbappé - 8,Hugo Lloris
2,3,Croatia,7,2,4,1,8,7,1,10,7.0,11.0,-4.0,-0.58,Andrej Kramarić - 2,Dominik Livaković
3,4,Morocco,7,3,2,2,6,5,1,11,6.6,7.4,-0.8,-0.12,Youssef En-Nesyri - 2,Yassine Bounou
4,QF,Netherlands,5,3,2,0,10,4,6,11,4.6,6.1,-1.5,-0.29,Cody Gakpo - 3,Andries Noppert
5,QF,England,5,3,1,1,13,4,9,10,8.7,4.0,4.6,0.92,"Bukayo Saka, Marcus Rashford - 3",Jordan Pickford
6,QF,Brazil,5,3,1,1,8,3,5,10,12.0,2.0,9.9,1.98,Richarlison - 3,Alisson
7,QF,Portugal,5,3,0,2,12,6,6,9,7.8,6.5,1.3,0.25,Gonçalo Ramos - 3,Diogo Costa
8,R16,Japan,4,2,1,1,5,4,1,7,5.0,5.7,-0.7,-0.17,Ritsu Doan - 2,Shūichi Gonda
9,R16,Senegal,4,2,0,2,5,7,-2,6,4.6,3.5,1.0,0.26,"Boulaye Dia, Ismaila Sarr... - 1",Edouard Mendy
10,R16,Australia,4,2,0,2,4,6,-2,6,2.3,7.2,-4.9,-1.23,"Craig Goodwin, Mathew Leckie... - 1",Mathew Ryan
11,R16,Switzerland,4,2,0,2,5,9,-4,6,5.6,5.3,0.3,0.08,Breel Embolo - 2,Yann Sommer
12,R16,Spain,4,1,2,1,9,3,6,5,6.2,3.4,2.7,0.68,Álvaro Morata - 3,Unai Simón
13,R16,United States,4,1,2,1,3,4,-1,5,4.1,4.4,-0.3,-0.07,"Christian Pulisic, Timothy Weah... - 1",Matt Turner
14,R16,Poland,4,1,1,2,3,5,-2,4,4.5,7.3,-2.7,-0.69,Robert Lewandowski - 2,Wojciech Szczęsny
15,R16,Korea Republic,4,1,1,2,5,8,-3,4,4.6,7.1,-2.5,-0.63,Cho Guesung - 2,Kim Seung-gyu
16,GR,Germany,3,1,1,1,6,5,1,4,10.1,3.4,6.7,2.22,"Kai Havertz, Niclas Füllkrug - 2",Manuel Neuer
17,GR,Ecuador,3,1,1,1,4,3,1,4,3.7,2.6,1.2,0.39,Enner Valencia - 3,Hernán Galíndez
18,GR,Cameroon,3,1,1,1,4,4,0,4,3.4,5.8,-2.3,-0.78,Vincent Aboubakar - 2,Devis Epassy
19,GR,Uruguay,3,1,1,1,2,2,0,4,3.7,3.5,0.1,0.05,Giorgian De Arrascaeta - 2,Sergio Rochet
20,GR,Tunisia,3,1,1,1,1,1,0,4,2.3,2.8,-0.5,-0.17,Wahbi Khazri - 1,Aimen Dahmen
21,GR,Mexico,3,1,1,1,2,3,-1,4,3.3,2.4,0.9,0.3,"Henry Martín, Luis Chávez - 1",Guillermo Ochoa
22,GR,Belgium,3,1,1,1,1,2,-1,4,4.7,4.6,0.2,0.05,Michy Batshuayi - 1,Thibaut Courtois
23,GR,Ghana,3,1,0,2,5,7,-2,3,4.1,5.6,-1.4,-0.48,Kudus Mohammed - 2,Lawrence Ati-Zigi
24,GR,Saudi Arabia,3,1,0,2,3,5,-2,3,3.0,6.0,-3.0,-1.01,Salem Al-Dawsari - 2,Mohammed Al-Owais
25,GR,IR Iran,3,1,0,2,4,7,-3,3,3.2,4.2,-0.9,-0.32,Mehdi Taremi - 2,Hossein Hosseini
26,GR,Costa Rica,3,1,0,2,3,11,-8,3,1.4,10.1,-8.7,-2.9,"Juan Pablo Vargas, Keysher Fuller... - 1",Keylor Navas
27,GR,Denmark,3,0,1,2,1,3,-2,1,2.7,3.9,-1.2,-0.39,Andreas Christensen - 1,Kasper Schmeichel
28,GR,Serbia,3,0,1,2,5,8,-3,1,3.4,7.3,-3.9,-1.32,Aleksandar Mitrović - 2,Vanja Milinković-Savić
29,GR,Wales,3,0,1,2,1,6,-5,1,2.7,4.6,-1.9,-0.63,Gareth Bale - 1,Wayne Hennessey
30,GR,Canada,3,0,0,3,2,7,-5,0,4.2,3.9,0.3,0.11,Alphonso Davies - 1,Milan Borjan
31,GR,Qatar,3,0,0,3,1,7,-6,0,1.4,3.5,-2.1,-0.71,Mohammed Muntari - 1,Meshaal Barsham
