,Player,Pos,Age,Club,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
0,Emiliano Martínez,GK,29.0,1.eng Aston Villa,7.0,7,690.0,7.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Argentina,
1,Lionel Messi,FW,34.0,1.fr Paris S-G,7.0,7,690.0,7.7,7.0,3.0,3.0,4.0,5.0,1.0,0.0,0.91,0.39,1.3,0.39,0.78,6.6,2.7,2.5,5.2,0.94,0.35,1.3,0.38,0.74,Matches,Argentina,
2,Nicolás Otamendi,DF,34.0,1.pt Benfica,7.0,7,690.0,7.7,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.2,0.2,0.0,0.02,0.03,0.0,0.03,Matches,Argentina,
3,Rodrigo De Paul,MF,28.0,1.es Atlético Madrid,7.0,7,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.2,0.14,0.05,0.19,0.14,0.19,Matches,Argentina,
4,Nahuel Molina,DF,24.0,1.es Atlético Madrid,7.0,6,567.0,6.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.32,0.16,0.32,0.5,0.5,0.3,0.8,0.07,0.05,0.12,0.07,0.12,Matches,Argentina,
5,Alexis Mac Allister,MF,23.0,1.eng Brighton,6.0,6,550.0,6.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.33,0.16,0.33,0.7,0.7,0.9,1.6,0.12,0.15,0.27,0.12,0.27,Matches,Argentina,
6,Cristian Romero,DF,24.0,1.eng Tottenham,7.0,6,547.0,6.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Argentina,
7,Enzo Fernández,MF,21.0,1.pt Benfica,7.0,5,564.0,6.3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,0.16,0.32,0.16,0.32,0.3,0.3,0.9,1.2,0.05,0.16,0.21,0.05,0.21,Matches,Argentina,
8,Julián Álvarez,FW,22.0,1.eng Manchester City,7.0,5,464.0,5.2,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.78,0.0,0.78,0.78,0.78,2.6,2.6,0.1,2.7,0.51,0.02,0.53,0.51,0.53,Matches,Argentina,
9,Marcos Acuña,"DF,FW",30.0,1.es Sevilla,6.0,4,373.0,4.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.02,0.07,0.1,0.02,0.1,Matches,Argentina,
10,Ángel Di María,"MF,FW",34.0,1.it Juventus,5.0,4,288.0,3.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.31,0.31,0.62,0.31,0.62,0.6,0.6,0.6,1.3,0.21,0.2,0.41,0.21,0.41,Matches,Argentina,
